Unnamed: 0,번호,제목,저자,출판사,출판일
,67,Toxicological evaluation of certain veterinary drug residues in food: Prepared by the Forty-eighth meeting of the Joint FAO/WHO Expert Committee on Food Additives (JECFA),unknown,FOOD AND AGRICULTURAL ORGANIZATION,1997
,68,Food Safety from Farm to Table... A National Food-Safety Initiative Report to the President!,00,IAMFES INTER ASSN MILK FOOD ENVIR SANITARIANS,1997
,69,Thought for food: innovation and entrepreneurship in the Food Industry. Simon Dale explains the role of the SEEDA-supported Food Technology Enterprise Hub,unknown,BOSTON HANNAH COMMUNICATIONS,2007
,70,"Healthier Fried Foods: Since American consumers insist on eating fried foods, we owe it to their health and to our bottom lines to improve fried foods via healthier oils with longer shelf life, improved coatings and better frying techniques",unknown,WEEKS PUBLISHING CO.,2011
,71,Food-packaging interactions influencing quality and safety,"Hotchkiss, J. H.",Taylor & Francis,1996
,72,Food-handling Behaviors Student Volunteers in a University Food Recovery Program,H. Lester Schonberger; Renee R. Boyer; Melissa W. Chase,International Association for Food Protection,2018
,73,Medical Foods: Food or Drug?,"Ockhuizen, T.",Process Press Europe,1994
,74,Migration by 'direct' or 'indirect' food contact? 'Dry' and 'wetting' foods? Experimental data for 'touching' contact of dry foods with paper and board,"Eicher, Angela; Biedermann, Maurus; Zurfluh, Michael; Grob, Koni",Taylor & Francis,2015
,75,"Convenience Foods: The convenience food sector is one of the most dynamic, with sales of frozen foods on the increase",unknown,TARA PUBLISHING CO LTD,1997
,76,Organic food: nutritious food or food for thought? A review of the evidence,"Magkos, F.; Arvaniti, F.; Zampelas, A.",MACMILLAN PRESS LTD,2003
,77,Halal Foods: A Slice Of The Halal Pie - The halal market is an untapped treasure trove that holds much potential for food manufacturers of both Muslim and non-Muslim countries,"Lim, C.",AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2008
,78,Objective and Subjective Impediments to the Use of Food Stamps by Food-Insecure Households,"Ejimakor, G.; Acharaeke, O.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2006
,79,"A CO~2OL supplier Not just plain carbon dioxide, but food-grade liquid CO2, dry ice plus other value-added services are Hydrogas Malaysia's calling card to food processors in the country",unknown,AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2000
,80,Discrete Choice Analysis of the Factors Affecting Food-Imports Refusals by the Food and Drug Administration,"Allen, A. J.; Shaik, S.; Myles, A.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2007
,81,The Beauty Of Black Foods: Black is beautiful and black foods are now attracting attention,"Thevis, H.",AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2008
,82,"Speaking Out on Functional Foods In a unique Prepared Foods' Industry Survey, the technical, marketing and sales personnel at food companies","Fels, J.; Klemenz, M.",DELTA COMMUNICATIONS INC,2003
,83,Safety of Street Foods: Case Study of A Food Plaza in Delhi,"Bajaj, P.; Mathur, P.; Sharma, S.",ASSOCIATION OF FOOD SCIENTISTS & TECHNOLOGISTS,2002
,84,Wellness Foods: India's New Opportunity There is a growing recognition of the potential role for wellness foods in helping to reduce health risks and improve health quality,unknown,THE ALL INDIAN FOOD PRESERVERS ASSOCIATION,2008
,85,"GM Foods: Labelling &amp; Testing For GM food producers and importers, engaging a reliable third-party testing and inspection body will allow them to gain access to export markets and shorten their time-to-market by meeting the labelling requirements of their importing companies","Yoong, C.K.",AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2012
,86,``Raw food'' diet: the effect of maximal temperature (46 ± 1 °C) on aflatoxin B~1 and oxalate content in food,"Bavcon Kralj,  M.; Podrażka,  M.; Krawczyk,  B.; Pandel Mikuš,  R.; Jarni,  K.; Trebše,  P.",VUP FOOD RESEARCH INSTITUTE,2017
,87,Health foods: Future of Indian food industry,"Pai, J.S.",ASSOCIATION OF FOOD SCIENTISTS &amp; TECHNOLOGISTS,2007
,88,"Forging a functional framework Food companies, regulatory authorities and consumers alike are struggling to make sense of the phenomenon known as `functional foods'. What can countries in southeast and East Asia learn from the experience of markets in the",unknown,AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2000
,89,"Nutraceuticals/Functional Foods: At The Crossroads: Crossing the divide between the agri-food, cosmetics and pharmaceutical industries offers much potential",unknown,AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2008
,90,"Trends in Prepared Foods for Foodservice: The second annual Prepared Foods' ""Foodservice Product Development Trends Survey"" finds several issues and developments of concern to food manufactures offering products to foodservices",unknown,DELTA COMMUNICATIONS INC,2006
,91,Special Issue on Ready to Eat Foods: Proceedings of the National Seminar on ``Ready to Eat Foods-Prospects'' held on 15-16 November 2007 at New Delhi,unknown,THE ALL INDIAN FOOD PRESERVERS ASSOCIATION,2008
,92,A Food Classification Scheme to Summarize Epidemiological Patterns of Food-borne Illness,"Fraser, A. M.",IAMFES INTER ASSN MILK FOOD ENVIR SANITARIANS,1995
,93,A Comparison of Household Food-Security Status and Dietary Intake of Food Box Recipients in Middle Tennessee,"Godwin, S.; Tegegne, F.; Speller-Henderson, L.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2003
,94,"Flavorings in Food: Ministry of Agriculture, Fisheries and Food, United Kingdom","Love, J. A.",IAMFES INTER ASSN MILK FOOD ENVIR SANITARIANS,1997
,95,The Future of Food: Prepared Foods' New Products Conference featured three leaders in the industry offering their perspectives on the future of foods and beverages,unknown,DELTA COMMUNICATIONS INC,2007
,96,"Defending Functional Foods: Functional foods are gathering enough momentum to overtake the entire food industry. In time, manufacturers may expect to hear more of the consumer battle cry for fortification and enrichment",unknown,DELTA COMMUNICATIONS INC,2006
,97,"Orphan Food? Nay, Future of Food ! Understanding the Pulse of the Indian Market","Deodhar,  Satish Y.",ASSOCIATION OF FOOD SCIENTISTS & TECHNOLOGISTS,2016
,98,"Raw materials: There's a new trend appearing in the health food world - raw food. Dr Sarah Houlton asks, will it ever make it into the mainstream food sector?",unknown,EXPOCONSULT PUBLISHERS,2012
,99,Analysis of Consumer Food-Handling Practices from Grocer to Home Including Transport and Storage of Selected Foods,"Godwin, S. L.; Coppings, R. J.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2005
,100,"Nutraceuticals in Processed Foods and Supplements: Results from ``Prepared Foods' 2011 R&amp;D Trends Survey: Functional Foods and Beverages'' show targeting health conditions range in boldness, while regulatory staffs influence ingredient choices",unknown,DELTA COMMUNICATIONS INC,2011
,1,"Moisture distribution and loss in microwave heating of foods: effect of food structure, initial moisture level and surface conditions","Ni, H.; Datta, A.",Sheffield Academic Press,1997
,2,"First Person: A Product Developer's Perspective A new feature! Prepared Foods discusses Asian food trends with Jean Lee, R&amp;D director for Windsor Foods' Golden Tiger business",unknown,DELTA COMMUNICATIONS INC,2013
,3,Characterization of Enterococci from Food and Food-Related Settings,"Soares-Santos,  Verónica; Barreto,  António Salvador; Semedo-Lemsaddek,  Teresa",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2015
,4,IUFoST Symposium 9: Functional Foods-Safety and Efficacy: The Impact of Regulation on Informing Consumers about the Health Promoting Properties of Functional Foods in the U.S.A,"Falk, M.",INSTITUTE OF FOOD TECHNOLOGISTS,2004
,5,"Egg and Milk Proteins as Hidden Allergens in Food: 5-Year (2010 to 2014) Results of Food Allergen Monitoring in Piedmont, Italy","Bianchi,  Daniela Manila; Adriano,  Daniela; Astegiano,  Sara; Gallina,  Silvia; Caramelli,  Maria; Decastelli,  Lucia",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2016
,6,Migration of Dibenzoate Plasticizers and Polyethylene Terephthalate Cyclic Oligomers from Microwave Susceptor Packaging into Food-Simulating Liquids and Food,TIMOTHY H. BEGLEY; HENRY C. HOLLIFIELD,"International Association of Milk, Food, and Environmental Sanitarians",1990
,7,MOLECULAR DIAGNOSTICS IN FOOD SAFETY: RAPID DETECTION OF FOOD-BORNE PATHOGENS,"Smith, T. J.",AGRICULTURE AND FOOD DEVELOPMENT AUTHORITY,2000
,8,Detection of Noroviruses in Foods: A Study on Virus Extraction Procedures in Foods implicated in Outbreaks of Human Gastroenteritis,"Rutjes, S. A.; Lodder-Verschoor, F.; van der Poel, W. H. M.; van Duijnhoven, Y. T. H. P.; de Roda Husman, A. M.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2006
,9,What is food‐to‐food fortification? A working definition and framework for evaluation of efficiency and implementation of best practices,"Kruger, Johanita; Taylor, John R. N.; Ferruzzi, Mario G.; Debelo, Hawi",Wiley-Blackwell,2020
,10,Irradiation as a method for decontaminating food: A review,"Farkas, J.",Elsevier,1998
,11,"Application of subtyping by combined allozyme, whole-cell protein and antibiotic resistance analysis in epidemiological investigations of food-borne infections","Thurm, V.; Dinger, E.",Elsevier,1993
,12,"Improving iron and zinc bioaccessibility through food-to-food fortification of pearl millet with tropical plant foodstuffs (moringa leaf powder, roselle calyces and baobab fruit pulp)",Reneè van der Merwe; Johanita Kruger,Association of Food Scientists & Technologists,2019
,13,"Migration of plasticizers from PVC gaskets of lids for glass jars into oily foods: Amount of gasket material in food contact, proportion of plasticizer migrating into food and compliance testing by simulation","Fankhauser-Noti, A.; Grob, K.","Elsevier Science B.V., Amsterdam.",2006
,14,"Thermal Inactivation of Salmonella Agona in Low—Water Activity Foods: Predictive Models for the Combined Effect of Temperature, Water Activity, and Food Component","Jin, Yuqiao; Pickens, Shannon R.; Hildebrandt, Ian M.; Burbick, Stephen J.; Grasso-Kelley, Elizabeth M.; Keller, Susanne E.; Anderson, Nathan M.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2018
,15,A Real-Time PCR Assay for the Detection of Salmonella in a Wide Variety of Food and Food-Animal Matrices,"Bohaychuk, V. M.; Gensler, G. E.; McFall, M. E.; King, R. K.; Renter, D. G.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2007
,16,"Animal Feeds and Pet Foods: Recent Developments Food Technology Review No. 50, 1979, C. S. Sodano","Lawlor, M. J.",TEAGASC-Agriculture and Food Development Authority,1979
,17,Use of Polymerase Chain Reaction (PCR) in food control: Detection of genetically modified food and food-borne pathogens,"Greiner, R.; Jany, K.-D.",POLISH ACADEMY OF SCIENCES,2002
,18,Understanding the oral processing of solid foods: Insights from food structure,"Guo, Qing",Wiley-Blackwell,2021
,19,"The adaptive response of bacterial food-borne pathogens in the environment, host and food: Implications for food safety","Alvarez-Ordóñez, A.; Broussolle, V. r.; Colin, P.; Nguyen-The, C.; Prieto, M.","Elsevier Science B.V., Amsterdam.",2015
,20,Inactivation of foodborne pathogens by the synergistic combinations of food processing technologies and food‐grade compounds,"Zhang, Hongchao; Tikekar, Rohan V.; Ding, Qiao; Gilbert, Andrea R.; Wimsatt, Stratton T.",Wiley-Blackwell,2020
,21,Viral Inactivation in Foods: A Review of Traditional and Novel Food-Processing Technologies,"Hirneisen, K. A.; Black, E. P.; Cascarino, J. L.; Fino, V. R.; Hoover, D. G.; Kniel, K. E.",BLACKWELL PUBLISHING LTD,2010
,22,Food Safety Could self-inspection programs lead to safer foods?,unknown,PETER N HAVENS,2003
,23,"New Governance: Can User-Promulgated Certification Schemes Provide Safer, Higher Quality Food?","Hass, T.K.",Food and Drug Law Institute; 1999,2013
,24,Future foods: a manifesto for research priorities in structural design of foods,"McClements, David Julian",Royal Society of Chemistry,2020
,25,Final word Queen Garnet plums are the latest `super foods' taking the supermarkets by storm,unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2015
,26,Is production intensification likely to make farm households food-adequate? A simple food availability analysis across smallholder farming systems from East and West Africa,"Ritzema, R. S.",Springer Science + Business Media,2017
,27,"The Facts on Functional Foods: As demand for functional foods grows, suppliers expand the ingredient options: refining existing products, offering new ingredients that reflect the latest health and nutrition studies and perfecting their use in application","Bricknell, M. C.",WEEKS PUBLISHING CO.,2003
,28,"ILSI Workshop Report - Nanotechnology and food: the what, the why and the wherefore!",unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE &amp; TECHNOLOGY,2009
,29,Mastication of heterogeneous foods: Peanuts inside two different food matrices,"Hutchings, S. C.; Foster, K. D.; Bronlund, J. E.; Lentle, R. G.; Jones, J. R.; Morgenstern, M. P.","Elsevier Science B.V., Amsterdam.",2011
,30,"Frozen Food: FSMA, trade agreements top frozen food industry's concerns",unknown,AGRA INFORMA INC,2011
,31,The Convenience Consumer and Food-Related Lifestyles in Great Britain,"Buckley, M.; Cowan, C.; McCarthy, M.; O Sullivan, C.",FOOD PRODUCT PRESS,2005
,32,"Comment on ""Revisiting the carrageenan controversy: do we really understand the digestive fate and safety of carrageenan in our foods?"" by S. David, C. S. Levi, L. Fahoum, Y. Ungar, E. G. Meyron-Holtz, A. Shpigelman and U. Lesmes, Food Funct., 2018, 9, 1344–1352","Weiner, Myra L.; McKim, James M.",Royal Society of Chemistry,2019
,33,Inactivation of hepatitis A virus and norovirus surrogate in suspension and on food-contact surfaces using pulsed UV light (pulsed light inactivation of food-borne viruses),"Jean, J.; Morales-Rayas, R.; Anoman, M.-N.; Lamhoujeb, S.","Elsevier Science B.V., Amsterdam",2011
,34,Characterizing the pH-Dependent Release Kinetics of Food-Grade Spray Drying Encapsulated Iron Microcapsules for Food Fortification,"Pratap Singh, A.; Siddiqui, J.; Diosady, L. L.",Springer Science + Business Media,2018
,35,Operations No more lubricating weakly Vitto Brand Foods extends lubrication schedule with tougher food-grade grease,"Berger, D. H.",PUTMAN PUBLICATIONS,2004
,36,`Natural' claims on foods: a review of regulations and a pilot study of the views of Australian consumers,"Williams, P.; Markoska, J.; Chachay, V.; McMahon, A.",AUSTRALIAN INSTITUTE OF FOOD SCIENCE &amp; TECHNOLOGY,2009
,37,Survey of five food-borne pathogens in commercial cold food dishes and their detection by multiplex PCR,"Yu, Qian; Zhai, Ligong; Bie, Xiaomei; Lu, Zhaoxin; Zhang, Chong; Tao, Tingting; Li, Junjie; Lv, Fengxia; Zhao, Haizhen","Elsevier Science B.V., Amsterdam.",2016
,38,Microbiology and Industrial Biotechnology of Food-Grade Proteases: A Perspective,"Sumantha, A.; Larroche, C.; Pandey, A.",FOOD TECHNOLOGY AND BIOTECHNOLOGY,2006
,39,Towards the rational design of foods: The 4th delivery of functionality in complex foods conference,"Co, E.; Peyronel, F.; Yada, R.; Marangoni, A.",Royal Society of Chemistry,2012
,40,Seaweed: A future food? Dr Craig Rose reviews the potential of seaweed as a dietary and food ingredient,unknown,BOSTON HANNAH COMMUNICATIONS,2013
,41,Research on Functional Foods: Brussels Sprouts for Your Health?,"Verhagen, H.; Van Poppel, G.",Miller Freeman,1996
,42,Around the functional food: Recognizing the project revision problems as a chance,"Murakami, A.",FOOD CHEMICALS NEWSPAPER INC,2010
,43,"Non-lactic acid, contaminating microbial flora in ready-to-eat foods: A potential food-quality index","Angelidis, A. S.; Chronis, E. N.; Papageorgiou, D. K.; Kazakis, I. I.; Arsenoglou, K. C.; Stathopoulos, G. A.","Elsevier Science B.V., Amsterdam",2006
,44,Phages for biocontrol in foods: What opportunities for Salmonella sp. control along the dairy food chain?,"LeLièvre, Virginie; Besnard, Alexandra; Schlusselhuber, Margot; Desmasures, Nathalie; Dalmasso, Marion","Elsevier Science B.V., Amsterdam",2019
,45,"""Social food"": Food literacy co-construction and distortion on social media","Steils, Nadia; Obaidalahe, Zakia","Elsevier Science B.V., Amsterdam.",2020
,46,Comfort Foods: An Exploratory Journey Into The Social and Emotional Significance of Food,"Locher, J. L.; Yoels, W. C.; Maurer, D.; Van Ells, J.",ROUTLEDGE,2005
